,filename,date,starttime,duration,stoptime,angle
47,/home/ctorney/data/tz-2017//ir/DJI_0396.MP4,2017-05-02,06:31:38.926667,00:08:16,06:39:55.010000,153.0
48,/home/ctorney/data/tz-2017//ir/DJI_0399.MP4,2017-05-02,06:47:27.468333,00:02:15,06:49:43.010000,166.4
49,/home/ctorney/data/tz-2017//ir/DJI_0401.MP4,2017-05-02,06:52:21.551667,00:02:24,06:54:46.010000,159.4
50,/home/ctorney/data/tz-2017//ir/DJI_0402.MP4,2017-05-02,06:54:57.135000,00:01:24,06:56:22.010000,159.4
51,/home/ctorney/data/tz-2017//ir/DJI_0403.MP4,2017-05-02,06:56:34.218333,00:04:05,07:00:40.010000,159.4
52,/home/ctorney/data/tz-2017//ir/DJI_0405.MP4,2017-05-02,07:04:36.260000,00:03:55,07:08:32.010000,159.4
53,/home/ctorney/data/tz-2017//ir/DJI_0406.MP4,2017-05-02,07:08:45.885000,00:03:53,07:12:39.010000,159.4
54,/home/ctorney/data/tz-2017//ir/DJI_0408.MP4,2017-05-02,07:13:04.843333,00:06:14,07:19:19.010000,159.4
55,/home/ctorney/data/tz-2017//ir/DJI_0409.MP4,2017-05-02,07:19:48.218333,00:03:34,07:23:23.010000,157.6
56,/home/ctorney/data/tz-2017//ir/DJI_0410.MP4,2017-05-02,07:23:33.801667,00:02:08,07:25:42.010000,157.6
57,/home/ctorney/data/tz-2017//ir/DJI_0413.MP4,2017-05-02,07:33:25.426667,00:02:27,07:35:53.010000,161.8
58,/home/ctorney/data/tz-2017//ir/DJI_0414.MP4,2017-05-02,07:36:06.551667,00:02:07,07:38:14.010000,161.8
59,/home/ctorney/data/tz-2017//ir/DJI_0415.MP4,2017-05-02,07:38:26.051667,00:01:45,07:40:12.010000,161.8
60,/home/ctorney/data/tz-2017//ir/DJI_0416.MP4,2017-05-02,07:40:37.343333,00:02:38,07:43:16.010000,155.5
61,/home/ctorney/data/tz-2017//ir/DJI_0417.MP4,2017-05-02,07:43:25.635000,00:04:00,07:47:26.010000,155.5
62,/home/ctorney/data/tz-2017//ir/DJI_0418.MP4,2017-05-02,07:47:41.385000,00:02:55,07:50:37.010000,155.5
63,/home/ctorney/data/tz-2017//ir/DJI_0419.MP4,2017-05-02,07:50:53.551667,00:04:20,07:55:14.010000,155.5
64,/home/ctorney/data/tz-2017//ir/DJI_0420.MP4,2017-05-02,07:55:31.593333,00:04:59,08:00:31.010000,155.5
65,/home/ctorney/data/tz-2017//ir/DJI_0421.MP4,2017-05-02,08:00:48.093333,00:04:46,08:05:35.010000,161.3
66,/home/ctorney/data/tz-2017//ir/DJI_0422.MP4,2017-05-02,08:05:54.718333,00:01:35,08:07:30.010000,161.3
67,/home/ctorney/data/tz-2017//ir/DJI_0423.MP4,2017-05-02,08:07:31.968333,00:03:06,08:10:38.010000,153.7
68,/home/ctorney/data/tz-2017//ir/DJI_0424.MP4,2017-05-02,08:10:55.385000,00:02:19,08:13:15.010000,153.7
69,/home/ctorney/data/tz-2017//ir/DJI_0425.MP4,2017-05-02,08:13:35.885000,00:00:57,08:14:33.010000,153.7
70,/home/ctorney/data/tz-2017//ir/DJI_0426.MP4,2017-05-02,08:14:43.218333,00:08:17,08:23:01.010000,153.7
